,x,y,z
C_left_0,5.088765704743141,0.0,0.0
C_in_0,5.087886487311749,2.4576923076923074,0.0945911729521539
C_in_1,4.865334009307622,2.403076923076923,1.4913287282301553
C_in_2,4.630688669983996,1.1469230769230767,2.1100376393448053
C_in_3,3.8710632712815003,1.0923076923076922,3.30309030265679
C_in_4,5.085249138833209,4.915384615384615,0.1891496597037866
C_in_5,4.836772226634942,4.86076923076923,1.5815090342526712
C_in_6,4.590666721776205,3.6046153846153843,2.195749404496439
C_in_7,3.808995824924729,3.55,3.374475841293865
C_in_8,3.3389272968549824,2.2938461538461534,3.8401954252468236
C_in_9,2.1529865201185934,2.239230769230769,4.610876862588892
C_in_10,1.5364852496826902,0.983076923076923,4.85126266813883
C_in_11,0.14187654468170982,0.9284615384615384,5.086787536730735
C_in_12,5.080854570649441,7.373076923076923,0.28364278534916976
C_in_13,4.80653908603381,7.318461538461538,1.671142846138299
C_in_14,4.549058457971398,6.062307692307693,2.2807024233180533
C_in_15,3.7456121711732058,6.007692307692308,3.4446953219303875
C_in_16,3.266967954655395,4.751538461538461,3.9015966963571076
C_in_17,2.066906472526702,4.696923076923077,4.650100432420484
C_in_18,1.4460433709646607,3.440769230769231,4.8789850345188714
C_in_19,0.047297629495980445,3.386153846153846,5.088545895637969
C_in_20,-0.6133829246468768,2.1300000000000003,5.051662873304354
C_in_21,-1.98011220058056,2.075384615384616,4.687717149197674
C_in_22,-2.5716415232662566,0.8192307692307694,4.391149766699237
C_in_23,-3.6809342123963744,0.7646153846153848,3.513724480060985
C_in_24,5.074704301313735,9.83076923076923,0.37803789756825784
C_in_25,4.774645034636504,9.776153846153845,1.7601991907142018
C_in_26,4.505878256402217,8.52,2.3648673400957754
C_in_27,3.680934212396376,8.465384615384615,3.513724480060983
C_in_28,3.193879704056329,7.209230769230769,3.9616497616254533
C_in_29,1.9801122005805605,7.154615384615385,4.687717149197674
C_in_30,1.355101808585772,5.898461538461538,4.905021456236203
C_in_31,-0.047297629495978696,5.843846153846153,5.088545895637969
C_in_32,-0.7071784434974218,4.587692307692307,5.039388360388839
C_in_33,-2.0669064725267017,4.533076923076923,4.650100432420485
C_in_34,-2.652820928834302,3.276923076923077,4.342588803618029
C_in_35,-3.745612171173204,3.2223076923076923,3.4446953219303893
C_in_36,-4.160923057048815,1.966153846153846,2.9295487214056535
C_in_37,-4.80653908603381,1.9115384615384614,1.6711428461383009
C_in_38,-4.982747517384759,0.6553846153846151,1.0333264613692876
C_in_39,-5.074704301313735,0.6007692307692305,-0.3780378975682568
C_in_40,5.0668004560660105,12.288461538461537,0.47230237790977336
C_in_41,4.7411010935069005,12.233846153846152,1.8486472943527177
C_in_42,4.461141038088067,10.977692307692307,2.448215071446232
C_in_43,3.6149842982138076,10.923076923076923,3.5815394624989936
C_in_44,3.119687800873316,9.666923076923077,4.020333869575034
C_in_45,1.8926336962433565,9.612307692307692,4.723714014376205
C_in_46,1.2636919876150974,8.356153846153846,4.92936293634455
C_in_47,-0.14187654468170807,8.301538461538462,5.086787536730735
C_in_48,-0.8007295951867717,7.045384615384614,5.025372475067095
C_in_49,-2.152986520118593,6.99076923076923,4.610876862588892
C_in_50,-2.7330836459406194,5.734615384615384,4.2925272488432595
C_in_51,-3.8089958249247267,5.679999999999999,3.374475841293868
C_in_52,-4.21465928889005,4.423846153846154,2.85169834946524
C_in_53,-4.836772226634941,4.369230769230769,1.5815090342526745
C_in_54,-5.001094332500041,3.1130769230769224,0.9405274452167374
C_in_55,-5.0668004560660105,3.058461538461538,-0.47230237790977053
C_in_56,-4.962678902238706,1.8023076923076917,-1.1257684091520717
C_in_57,-4.461141038088067,1.747692307692307,-2.4482150714462305
C_in_58,-4.105749008536623,0.49153846153846137,-3.006386780949932
C_in_59,-3.1196878008733178,0.43692307692307675,-4.020333869575032
C_in_60,5.057145766098433,14.746153846153845,0.566403653062589
