,x,y,z,theta_x,theta_y,theta_z
B_C_in_4-C_in_5,1.094117888209162,6.035,1.5059240801951912,0.0,-1.0391942264812069,-5.655536521813916
B_C_in_1-C_in_2,1.0941178882091624,1.775,1.5059240801951912,0.0,-1.0391942264812069,-5.655536521813916
B_C_in_30-C_in_31,1.5834222828960018,2.8400000000000007,-1.1504236283152824,0.0,-1.5707963267948952,-4.712388980384689
B_C_in_32-C_in_33,1.5834222828960027,7.100000000000001,-1.1504236283152809,0.0,-1.5707963267948957,-4.712388980384689
B_C_in_1-C_left_0,1.7703199308216822,1.775,0.5752118141576406,0.0,-0.609025842773656,-1.0861958863271566
B_C_in_25-C_in_26,-1.0941178882091624,8.165,-1.5059240801951908,0.0,-1.0391942264812064,-0.6276487853656705
B_C_in_24-C_in_31,1.0941178882091618,1.7750000000000008,-1.5059240801951914,0.0,-1.039194226481207,-2.513943868224123
B_C_in_18-C_in_25,-1.7703199308216824,8.165,-0.5752118141576397,0.0,-0.6090258427736557,-5.196989420852429
B_C_in_28-C_in_29,0.6048134935223196,4.970000000000001,-1.8614245320751017,0.0,-1.5707963267948966,-1.5707963267948966
B_C_in_15-C_in_9,-1.770319930821682,1.7750000000000004,0.5752118141576409,0.0,-0.6090258427736558,-4.22778853991695
B_C_in_11-C_in_5,1.1102230246251565e-16,6.035,1.8614245320751013,0.0,-1.5707963267948966,-0.5307744509134373
B_C_in_30-C_left_3,1.7703199308216813,3.9050000000000002,-0.5752118141576417,0.0,-0.609025842773655,-2.0553967672626383
B_C_in_12-C_in_13,-1.5834222828960023,4.970000000000001,1.1504236283152816,0.0,-1.5707963267948966,-1.5707963267948966
B_C_in_32-C_left_4,1.770319930821682,8.165000000000001,-0.575211814157641,0.0,-0.6090258427736547,-2.055396767262638
B_C_in_11-C_in_12,-1.094117888209162,6.035,1.5059240801951914,0.0,-1.0391942264812069,-2.513943868224122
B_C_in_21-C_in_22,-1.0941178882091611,3.905000000000001,-1.5059240801951916,0.0,-1.0391942264812073,-0.6276487853656705
B_C_in_13-C_in_7,-1.0941178882091618,3.9050000000000007,1.5059240801951914,0.0,-1.0391942264812073,-3.7692414389554645
B_C_in_8-C_in_9,-1.094117888209162,1.7750000000000008,1.5059240801951912,0.0,-1.0391942264812066,-2.513943868224122
B_C_in_14-C_in_15,-1.9572175787473616,2.8400000000000007,-1.9489957972049536e-16,0.0,-1.570796326794896,-4.71238898038469
B_C_in_12-C_in_19,-1.770319930821682,6.035,0.5752118141576413,0.0,-0.6090258427736562,-4.227788539916949
B_C_in_16-C_in_23,-1.0941178882091613,1.7750000000000006,-1.5059240801951912,0.0,-1.0391942264812073,-5.655536521813916
B_C_in_13-C_in_14,-1.770319930821682,3.9050000000000016,0.5752118141576404,0.0,-0.6090258427736557,-2.0553967672626365
B_C_in_19-C_in_20,-1.7703199308216822,6.035,-0.57521181415764,0.0,-0.6090258427736555,-1.0861958863271575
B_C_in_2-C_in_8,1.1102230246251565e-16,1.7750000000000004,1.861424532075101,0.0,-1.5707963267948966,-3.6723671045032305
