,x,y,z,theta_x,theta_y,theta_z
B_C_in_30-C_in_31,-2.8931732186815764,2.8400000000000007,-1.1983915854725282,0.0,-1.5707963267948957,-1.570796326794896
B_C_in_32-C_in_33,-2.2143389155036406,0.7100000000000013,-2.2143389155036397,0.0,-1.5707963267948966,-1.5707963267948966
B_C_in_1-C_left_0,3.0123606723386773,1.775,0.5991957927362646,0.0,-0.5585710632992668,-1.2468819621295892
B_C_in_25-C_in_31,-3.0123606723386773,1.7750000000000008,-0.5991957927362642,0.0,-0.558571063299267,-5.036303345049997
B_C_in_10-C_in_18,0.5991957927362654,8.165,3.0123606723386773,0.0,-1.401305667664375,-0.5348575051233913
B_C_in_31-C_in_32,-2.5537560670926083,1.7750000000000008,-1.7063652504880844,0.0,-0.7685620380557953,-0.8078345815112038
B_C_in_44-C_in_45,-5.752560583314933e-16,4.9700000000000015,-3.1315481259957787,0.0,-1.5707963267948966,-1.5707963267948966
B_C_in_51-C_in_52,2.2143389155036397,4.970000000000002,-2.2143389155036406,0.0,-1.5707963267948966,-1.5707963267948966
B_C_in_38-C_in_39,-1.1983915854725309,2.840000000000001,-2.8931732186815755,0.0,-1.5707963267948966,-1.5707963267948966
B_C_in_14-C_in_15,-1.1983915854725293,2.8400000000000007,2.893173218681576,0.0,-1.5707963267948966,-1.5707963267948963
B_C_in_40-C_in_41,-5.752560583314933e-16,0.7100000000000017,-3.1315481259957787,0.0,-1.5707963267948966,-1.5707963267948966
B_C_in_55-C_in_56,2.8931732186815764,7.100000000000003,-1.1983915854725284,0.0,-1.5707963267948966,-1.5707963267948966
B_C_in_13-C_in_14,-0.5991957927362647,3.9050000000000016,3.0123606723386773,0.0,-1.401305667664375,-2.6067351484664028
B_C_in_30-C_in_37,-2.5537560670926087,3.905000000000001,-1.7063652504880835,0.0,-0.768562038055795,-5.475350725668383
B_C_in_5-C_in_6,2.2143389155036406,4.970000000000001,2.2143389155036397,0.0,-1.5707963267948966,-1.570796326794896
B_C_in_51-C_in_56,2.553756067092608,6.035000000000004,-1.7063652504880844,0.0,-0.7685620380557954,-2.3337580720785915
B_C_in_49-C_in_50,1.19839158547253,7.100000000000003,-2.893173218681576,0.0,-1.5707963267948966,-1.5707963267948966
B_C_in_36-C_in_43,-1.706365250488084,6.035000000000002,-2.5537560670926087,0.0,-1.0697301379215252,-5.67322812751245
