,x,y,z
C_left_0,3.5876390824431907,0.0,0.0
C_in_0,3.5475681180898624,3.71843284962131,0.5347098590695444
C_in_1,3.4976894803082534,2.3240205310133186,0.7983247993234338
C_in_2,2.9642465181660227,1.8592164248106549,2.020989056233218
C_in_3,2.8049291823868017,0.46480410620266366,2.236856380653154
C_left_1,3.5876390824431907,6.507257486837292,0.0
C_in_4,3.3396390414563464,6.042453380634629,1.310711737436709
C_in_5,3.232351122551315,4.648041062026637,1.5566182596947373
C_in_6,2.4402142968393346,4.183236955823974,2.6299255448348213
C_in_7,2.236856380653153,2.7888246372159826,2.8049291823868026
C_in_8,1.0574751834689187,2.3240205310133186,3.4282503441582555
C_in_9,0.798324799323433,0.9296082124053273,3.4976894803082534
C_in_10,-0.5347098590695438,0.46480410620266355,3.5475681180898624
C_in_11,3.5475681180898624,10.225690336458602,0.5347098590695458
C_in_12,3.4976894803082534,8.831278017850611,0.7983247993234336
C_in_13,2.9642465181660227,8.366473911647947,2.020989056233218
C_in_14,2.8049291823868017,6.972061593039957,2.236856380653154
C_in_15,1.7938195412215951,6.507257486837293,3.1069865850056972
C_in_16,1.5566182596947364,5.112845168229302,3.2323511225513157
C_in_17,0.2681046043852917,4.648041062026637,3.577607315927955
C_in_18,-5.769363667342001e-16,3.2536287434186457,3.5876390824431907
C_in_19,-1.3107117374367099,2.788824637215982,3.339639041456346
C_in_20,-1.5566182596947367,1.3944123186079915,3.2323511225513153
C_in_21,-2.6299255448348218,0.9296082124053275,2.440214296839334
C_left_2,3.5876390824431907,13.014514973674585,0.0
C_in_22,3.339639041456346,12.549710867471921,1.3107117374367094
C_in_23,3.232351122551315,11.155298548863929,1.556618259694738
C_in_24,2.440214296839333,10.690494442661265,2.6299255448348227
C_in_25,2.236856380653153,9.296082124053274,2.8049291823868026
C_in_26,1.057475183468918,8.831278017850611,3.4282503441582555
C_in_27,0.798324799323433,7.43686569924262,3.4976894803082534
C_in_28,-0.5347098590695438,6.972061593039956,3.5475681180898624
C_in_29,-0.798324799323435,5.577649274431965,3.497689480308253
C_in_30,-2.020989056233218,5.112845168229302,2.9642465181660227
C_in_31,-2.2368563806531547,3.7184328496213093,2.8049291823868012
C_in_32,-3.106986585005698,3.2536287434186453,1.7938195412215938
C_in_33,-3.2323511225513157,1.8592164248106546,1.5566182596947358
C_in_34,-3.577607315927955,1.3944123186079906,0.26810460438529277
C_in_35,3.5475681180898624,16.732947823295895,0.5347098590695445
C_in_36,3.4976894803082534,15.338535504687906,0.7983247993234327
C_in_37,2.964246518166023,14.873731398485242,2.020989056233217
C_in_38,2.8049291823868017,13.479319079877248,2.236856380653154
C_in_39,1.7938195412215951,13.014514973674585,3.1069865850056972
C_in_40,1.5566182596947364,11.620102655066592,3.2323511225513157
C_in_41,0.2681046043852917,11.155298548863929,3.577607315927955
C_in_42,-5.769363667342001e-16,9.760886230255938,3.5876390824431907
C_in_43,-1.3107117374367083,9.296082124053274,3.3396390414563464
C_in_44,-1.5566182596947367,7.901669805445284,3.2323511225513153
C_in_45,-2.6299255448348218,7.436865699242619,2.440214296839334
C_in_46,-2.804929182386801,6.042453380634629,2.236856380653155
C_in_47,-3.4282503441582546,5.577649274431965,1.0574751834689204
C_in_48,-3.497689480308254,4.183236955823974,0.7983247993234324
C_in_49,-3.5475681180898624,3.7184328496213093,-0.5347098590695444
C_in_50,-3.4976894803082534,2.324020531013318,-0.7983247993234333
C_in_51,-2.9642465181660227,1.8592164248106542,-2.020989056233218
C_in_52,-2.804929182386803,0.46480410620266355,-2.2368563806531516
C_left_3,3.5876390824431907,19.521772460511876,1.7763568394002505e-15
C_in_53,3.339639041456346,19.056968354309213,1.3107117374367099
C_in_54,3.2323511225513153,17.662556035701222,1.5566182596947369
C_in_55,2.440214296839334,17.19775192949856,2.6299255448348218
C_in_56,2.2368563806531534,15.803339610890568,2.804929182386802
C_in_57,1.0574751834689187,15.338535504687904,3.4282503441582555
C_in_58,0.798324799323433,13.944123186079914,3.4976894803082534
C_in_59,-0.5347098590695454,13.47931907987725,3.5475681180898624
C_in_60,-0.798324799323435,12.084906761269258,3.497689480308253
C_in_61,-2.020989056233219,11.620102655066592,2.9642465181660214
C_in_62,-2.2368563806531547,10.225690336458603,2.8049291823868012
C_in_63,-3.106986585005698,9.760886230255938,1.7938195412215938
C_in_64,-3.2323511225513157,8.366473911647947,1.5566182596947358
C_in_65,-3.577607315927955,7.901669805445284,0.2681046043852912
C_in_66,-3.5876390824431907,6.507257486837291,-1.1538727334684002e-15
C_in_67,-3.339639041456346,6.042453380634628,-1.3107117374367103
C_in_68,-3.2323511225513153,4.648041062026637,-1.5566182596947367
C_in_69,-2.4402142968393346,4.183236955823974,-2.6299255448348213
C_in_70,-2.2368563806531543,2.788824637215983,-2.8049291823868017
