,x,y,z,theta_x,theta_y,theta_z
B_C_in_4-C_in_5,1.6041653599814198,6.035,1.6041653599814198,0.0,-0.913969411294629,-5.59285077481113
B_C_in_1-C_in_2,1.6041653599814198,1.775,1.6041653599814198,0.0,-0.9139694112946287,-5.59285077481113
B_C_in_16-C_in_17,-2.191330633605628,1.775,0.5871652736242091,0.0,-0.5842885224918255,-1.9879679598028865
B_C_in_29-C_in_35,-0.5871652736242102,6.035,-2.1913306336056273,0.0,-1.3453948567483018,-5.739390472265368
B_C_in_30-C_in_31,-0.5871652736242112,3.905,-2.1913306336056273,0.0,-1.3453948567483016,-0.5437948349142188
B_C_in_32-C_in_33,0.5871652736242075,1.774999999999999,-2.191330633605629,0.0,-1.3453948567483025,-3.6853874885040128
B_C_in_42-C_left_2,2.191330633605628,6.035,-0.5871652736242091,0.0,-0.584288522491826,-4.295217347376701
B_C_in_13-C_in_20,-1.6041653599814194,6.034999999999999,1.6041653599814205,0.0,-0.9139694112946288,-3.831927185958248
B_C_in_21-C_in_28,-2.191330633605629,6.035,-0.5871652736242072,0.0,-0.5842885224918264,-5.129560613392677
B_C_in_1-C_left_0,2.191330633605628,1.775,0.5871652736242085,0.0,-0.5842885224918257,-1.1536246937869077
B_C_in_36-C_in_37,1.1743305472484162,4.970000000000001,-2.034000172714423,0.0,-1.570796326794896,-1.570796326794898
B_C_in_25-C_in_32,-0.5871652736242093,1.7749999999999992,-2.191330633605628,0.0,-1.3453948567483016,-5.739390472265368
B_C_in_28-C_in_29,-1.604165359981422,6.035,-1.6041653599814176,0.0,-0.9139694112946283,-0.6903345323684573
B_C_in_16-C_in_9,-1.6041653599814194,1.775,1.6041653599814205,0.0,-0.913969411294629,-3.831927185958249
B_C_in_12-C_in_13,-0.5871652736242082,6.035,2.1913306336056286,0.0,-1.3453948567483027,-2.5977978186755744
B_C_in_38-C_left_3,2.191330633605628,3.905,-0.587165273624209,0.0,-0.5842885224918252,-1.9879679598028865
B_C_in_23-C_in_30,-1.6041653599814216,3.905,-1.6041653599814187,0.0,-0.9139694112946287,-5.592850774811129
B_C_in_31-C_in_32,-1.4744570934093022e-15,2.8399999999999994,-2.3486610944968342,0.0,-1.5707963267948966,-1.570796326794895
B_C_in_11-C_in_12,1.4381401458287336e-16,7.1,2.3486610944968342,0.0,-1.5707963267948966,-1.5707963267948966
B_C_in_21-C_in_22,-2.3486610944968342,4.97,2.876280291657467e-16,0.0,-1.5707963267948966,-1.5707963267948966
B_C_in_39-C_left_0,2.1913306336056273,1.775,-0.58716527362421,0.0,-0.5842885224918247,-4.295217347376697
B_C_in_14-C_in_7,-0.5871652736242082,3.905,2.1913306336056286,0.0,-1.3453948567483027,-3.6853874885040123
B_C_in_8-C_in_9,-0.5871652736242082,1.775,2.1913306336056286,0.0,-1.3453948567483027,-2.597797818675574
B_C_in_14-C_in_15,-1.6041653599814196,3.9050000000000002,1.6041653599814198,0.0,-0.9139694112946282,-2.451258121221338
B_C_in_34-C_in_40,0.5871652736242083,8.165,-2.191330633605628,0.0,-1.3453948567483027,-2.5977978186755735
