,x,y,z,theta_x,theta_y,theta_z
B_C_in_30-C_in_31,-1.7382401038476205,3.6892682201217086,5.806126289551463,0.0,-1.2799081181291758,-3.141592653589793
B_C_in_32-C_in_33,-3.6192235444590652,2.4595121467478056,4.8614609001901865,0.0,-0.9308422677303091,-3.141592653589793
B_C_in_101-C_in_82,-2.7339395983343167,11.682682697052076,5.4437213112844,0.0,-1.3445668836302356,-4.23630144123031
B_C_in_101-C_in_102,-3.6192235444590652,12.297560733739028,4.8614609001901865,0.0,-0.9308422677303091,-3.141592653589793
B_C_in_10-C_left_3,6.019760411299,7.378536440243417,0.7036090813812153,0.0,-0.11635528346628835,0.0
B_C_in_146-C_in_163,-5.835762581692874,14.142194843799881,-1.7471126272755484,0.0,-1.0715179901832153,-4.8763950388101724
B_C_in_178-C_left_3,6.081370745862185,6.763658403556465,-0.35419951107245506,0.0,-1.0484177692138024,-1.6043347449948582
B_C_in_147-C_in_148,-5.416075958537569,12.297560733739028,-2.720055580350551,0.0,-0.46542113386515427,0.0
B_C_in_171-C_in_172,1.7382401038476263,9.83804858699122,-5.806126289551461,0.0,-1.2799081181291732,-3.141592653589793
B_C_in_40-C_in_59,3.3474311475278693,10.452926623678174,5.0895218002119424,0.0,-1.2925828703377806,-1.121573380907357
B_C_in_31-C_in_32,-2.733939598334316,3.0743901834347573,5.443721311284401,0.0,-1.3445668836302358,-2.046883865949278
B_C_in_44-C_in_45,-0.7072005231186593,6.763658403556465,6.050487159094963,0.0,-1.5127418241192445,-2.0912188495494286
B_C_in_111-C_in_112,-4.159132812408437,6.148780366869514,-4.408423232584674,0.0,-0.8144869842640211,0.0
B_C_in_126-C_in_127,-5.835762581692875,10.452926623678174,-1.747112627275547,0.0,-1.071517990183217,-1.406790268369415
B_C_in_163-C_in_164,-5.416075958537569,14.757072880486833,-2.720055580350552,0.0,-0.4654211338651552,0.0
B_C_in_51-C_in_52,-5.89737291625606,2.459512146747805,1.397703056966789,0.0,-0.23271056693257694,-3.141592653589793
B_C_in_170-C_in_181,0.7072005231186634,11.682682697052076,-6.050487159094963,0.0,-1.5127418241192458,-2.091218849549427
B_C_in_125-C_in_126,-6.019760411299,11.067804660365125,-0.7036090813812159,0.0,-0.11635528346628835,0.0
B_C_in_112-C_in_131,-3.3474311475278657,6.763658403556465,-5.089521800211944,0.0,-1.2925828703377826,-5.161611926272228
B_C_in_38-C_in_39,4.886275323488448,10.452926623678174,3.6376971981378845,0.0,-1.1583061222358282,-5.0442228829609395
B_C_in_14-C_in_15,3.3474311475278684,4.30414625680866,5.0895218002119424,0.0,-1.2925828703377804,-5.161611926272229
B_C_in_40-C_in_41,3.3474311475278697,9.223170550304271,5.0895218002119424,0.0,-1.2925828703377815,-5.161611926272229
B_C_in_108-C_in_109,-5.835762581692875,7.9934144769303686,-1.747112627275547,0.0,-1.071517990183217,-1.406790268369415
B_C_in_55-C_in_56,5.416075958537569,13.527316807112932,2.720055580350551,0.0,-0.465421133865155,0.0
B_C_in_182-C_in_183,2.7339395983343224,11.682682697052078,-5.443721311284397,0.0,-1.3445668836302354,-4.236301441230312
B_C_in_180-C_in_181,0.7072005231186634,12.91243877042598,-6.050487159094963,0.0,-1.5127418241192458,-4.1919664576301585
B_C_in_126-C_in_147,-5.835762581692875,11.682682697052076,-1.747112627275547,0.0,-1.071517990183217,-4.876395038810172
B_C_in_176-C_in_177,5.593475846607109,6.763658403556464,-2.4127899609570744,0.0,-1.094024044434532,-4.487700283287402
B_C_in_13-C_in_14,4.159132812408439,4.919024293495611,4.408423232584672,0.0,-0.8144869842640209,0.0
B_C_in_94-C_in_95,-3.3474311475278657,3.0743901834347573,-5.089521800211944,0.0,-1.2925828703377826,-1.1215733809073578
B_C_in_117-C_in_118,1.7382401038476263,2.459512146747805,-5.806126289551461,0.0,-1.2799081181291732,-3.141592653589793
B_C_in_192-C_in_195,5.593475846607109,12.91243877042598,-2.4127899609570744,0.0,-1.0940240444345317,-1.7954850238921847
B_C_in_111-C_in_92,-4.886275323488446,5.5339023301825625,-3.6376971981378867,0.0,-1.1583061222358282,-5.044222882960941
B_C_in_109-C_in_110,-5.416075958537569,7.378536440243417,-2.720055580350551,0.0,-0.46542113386515427,0.0
B_C_in_194-C_left_5,6.081370745862184,11.682682697052076,-0.3541995110724578,0.0,-1.048417769213798,-1.6043347449948597
B_C_in_11-C_in_3,5.835762581692875,5.533902330182563,1.7471126272755477,0.0,-1.071517990183217,-1.406790268369415
B_C_in_0-C_left_1,6.019760411299,2.4595121467478056,0.7036090813812153,0.0,-0.11635528346628835,0.0
B_C_in_5-C_in_6,4.886275323488448,3.0743901834347573,3.6376971981378854,0.0,-1.1583061222358282,-5.044222882960941
B_C_in_16-C_in_28,1.4048373723532388,4.30414625680866,5.927474959838465,0.0,-1.4552804435192832,-1.0591889874833438
B_C_in_18-C_in_30,-0.7072005231186593,3.0743901834347573,6.050487159094963,0.0,-1.5127418241192445,-4.191966457630158
B_C_in_29-C_in_45,-0.7072005231186593,5.5339023301825625,6.050487159094963,0.0,-1.5127418241192445,-4.191966457630158
B_C_in_96-C_in_97,-1.4048373723532384,1.8446341100608543,-5.927474959838465,0.0,-1.4552804435192832,-1.059188987483346
B_C_in_49-C_in_50,-5.063675211557987,3.689268220121708,3.3304315787444128,0.0,-0.5817764173314429,-3.141592653589793
B_C_in_110-C_in_111,-4.886275323488446,6.763658403556466,-3.6376971981378867,0.0,-1.1583061222358284,-1.2389624242186452
B_C_in_100-C_in_101,-2.733939598334316,12.912438770425979,5.443721311284401,0.0,-1.344566883630236,-2.0468838659492765
B_C_in_17-C_in_9,1.4048373723532388,1.8446341100608543,5.927474959838465,0.0,-1.4552804435192832,-1.0591889874833442
B_C_in_114-C_in_133,-1.4048373723532384,5.5339023301825625,-5.927474959838465,0.0,-1.455280443519283,-5.223996319696241
B_C_in_64-C_in_65,-2.733939598334316,7.9934144769303686,5.443721311284401,0.0,-1.3445668836302356,-2.046883865949278
B_C_in_38-C_in_57,4.886275323488448,11.682682697052076,3.637697198137885,0.0,-1.158306122235828,-1.238962424218646
B_C_in_70-C_in_71,-6.081370745862184,4.304146256808661,0.3541995110724564,0.0,-1.0484177692137981,-1.6043347449948584
B_C_in_108-C_in_127,-5.835762581692875,9.223170550304271,-1.747112627275547,0.0,-1.071517990183217,-4.876395038810172
B_C_in_0-C_in_4,5.835762581692875,3.0743901834347573,1.7471126272755477,0.0,-1.071517990183217,-1.406790268369415
B_C_in_155-C_in_156,1.7382401038476214,7.378536440243416,-5.806126289551463,0.0,-1.2799081181291734,-3.141592653589793
B_C_in_27-C_in_28,1.4048373723532388,5.5339023301825625,5.927474959838465,0.0,-1.4552804435192832,-5.2239963196962425
B_C_in_167-C_in_168,-2.4005368668399325,12.297560733739028,-5.565069981571403,0.0,-1.163552834662886,0.0
B_C_in_22-C_in_23,5.4160759585375695,8.60829251361732,2.72005558035055,0.0,-0.46542113386515427,0.0
B_C_in_138-C_in_159,4.430925209339636,4.304146256808659,-4.180362332562915,0.0,-1.198738808499136,-1.9478309482955325
