,x,y,z,theta_x,theta_y,theta_z
B_C_in_4-C_in_5,-0.16950001439286852,3.6892682201217086,-0.29358263681210417,0.0,-1.0471975511965976,0.0
B_C_in_1-C_in_2,-0.16950001439286852,1.2297560733739028,-0.29358263681210417,0.0,-1.0471975511965976,0.0
B_C_in_10-C_in_9,-0.5085000431786055,9.223170550304271,0.2935826368121043,0.0,-1.13941340574901,-1.839780164449644
B_C_in_16-C_left_5,0.5085000431786061,12.912438770425979,-0.29358263681210395,0.0,-1.1394134057490106,-4.443405142729943
B_C_in_12-C_in_15,-0.5085000431786055,12.912438770425979,0.29358263681210384,0.0,-1.1394134057490097,-4.443405142729942
B_C_in_14-C_left_5,0.5085000431786053,11.682682697052076,-0.2935826368121044,0.0,-1.1394134057490097,-1.8397801644496445
B_C_in_5-C_left_1,0.5085000431786055,3.0743901834347573,-0.2935826368121042,0.0,-1.13941340574901,-4.443405142729942
B_C_in_10-C_in_6,-0.5085000431786055,7.9934144769303686,0.2935826368121043,0.0,-1.13941340574901,-4.443405142729942
B_C_in_12-C_in_13,-0.5085000431786055,11.682682697052076,0.29358263681210456,0.0,-1.1394134057490102,-1.839780164449644
B_C_in_13-C_in_9,-0.5085000431786055,10.452926623678174,0.29358263681210456,0.0,-1.1394134057490102,-4.443405142729942
B_C_in_2-C_left_0,0.5085000431786055,0.6148780366869514,-0.2935826368121042,0.0,-1.13941340574901,-4.443405142729942
B_C_in_13-C_in_14,-0.16950001439286877,11.067804660365125,-0.29358263681210406,0.0,-1.0471975511965967,0.0
B_C_in_8-C_left_3,0.5085000431786055,6.763658403556466,-0.2935826368121042,0.0,-1.1394134057490097,-1.839780164449644
B_C_in_14-C_left_4,0.5085000431786053,10.452926623678174,-0.2935826368121044,0.0,-1.1394134057490097,-4.443405142729942
B_C_in_5-C_left_2,0.5085000431786055,4.30414625680866,-0.2935826368121042,0.0,-1.1394134057490097,-1.839780164449644
B_C_in_8-C_left_2,0.5085000431786055,5.533902330182563,-0.2935826368121042,0.0,-1.1394134057490102,-4.443405142729942
B_C_in_0-C_in_1,-0.5085000431786055,1.8446341100608543,0.2935826368121043,0.0,-1.13941340574901,-1.839780164449644
B_C_in_2-C_left_1,0.5085000431786055,1.8446341100608543,-0.2935826368121042,0.0,-1.13941340574901,-1.839780164449644
B_C_in_0-C_left_1,0.1695000143928685,2.4595121467478056,0.2935826368121042,0.0,-1.0471975511965976,0.0
B_C_in_15-C_in_16,-0.169500014392868,13.527316807112932,-0.29358263681210434,0.0,-1.0471975511965992,0.0
B_C_in_6-C_left_3,0.1695000143928685,7.378536440243417,0.2935826368121042,0.0,-1.0471975511965976,0.0
B_C_in_6-C_in_7,-0.5085000431786055,6.763658403556466,0.2935826368121043,0.0,-1.13941340574901,-1.839780164449644
B_C_in_0-C_in_4,-0.5085000431786055,3.0743901834347573,0.2935826368121043,0.0,-1.13941340574901,-4.443405142729942
B_C_in_3-C_in_4,-0.5085000431786055,4.30414625680866,0.2935826368121043,0.0,-1.13941340574901,-1.839780164449644
B_C_in_3-C_in_7,-0.5085000431786055,5.533902330182563,0.2935826368121043,0.0,-1.1394134057490102,-4.443405142729943
B_C_in_9-C_left_4,0.1695000143928685,9.838048586991222,0.2935826368121042,0.0,-1.0471975511965976,0.0
B_C_in_3-C_left_2,0.1695000143928685,4.919024293495611,0.2935826368121042,0.0,-1.0471975511965976,0.0
B_C_in_16-C_left_6,0.5085000431786061,14.142194843799883,-0.29358263681210395,0.0,-1.1394134057490102,-1.8397801644496434
B_C_in_12-C_left_5,0.1695000143928685,12.297560733739028,0.2935826368121042,0.0,-1.0471975511965976,0.0
B_C_in_10-C_in_11,-0.16950001439286852,8.60829251361732,-0.29358263681210417,0.0,-1.0471975511965976,0.0
B_C_in_11-C_left_3,0.5085000431786055,7.9934144769303686,-0.2935826368121042,0.0,-1.1394134057490097,-4.443405142729942
B_C_in_7-C_in_8,-0.16950001439286852,6.148780366869515,-0.29358263681210417,0.0,-1.0471975511965976,0.0
B_C_in_11-C_left_4,0.5085000431786055,9.223170550304271,-0.2935826368121042,0.0,-1.1394134057490097,-1.839780164449644
