,x,y,z
C_left_0,3.7749445585431567,0.0,0.0
C_in_0,3.7555765387997466,2.4295778207533862,0.3819048065833991
C_in_1,3.3606007956848765,2.2087071097758058,1.719467566462585
C_in_2,3.0983364862365637,0.8834828439103223,2.1565058400407477
C_in_3,2.1038689494070275,0.6626121329327417,3.134316809736303
C_in_4,3.7663324554437496,6.184379907372256,0.25484555155161215
C_in_5,3.697671221661202,4.8591556415067725,0.7598907530514777
C_in_6,3.1694029913824444,4.638284930529192,2.0506318778100088
C_in_7,2.864269846509572,3.3130606646637086,2.458895009236999
C_in_8,1.7759811059837634,3.0921899536861277,3.33108053509117
C_in_9,1.3110580743800095,1.7669656878206446,3.5399623085108645
C_in_10,-0.0637568506752129,1.5460949768430639,3.774406110114089
C_in_11,-0.5716314647031853,0.2208707109775806,3.7314131222146765
C_in_12,3.72122632479982,8.613957728125643,0.6345715560056359
C_in_13,3.6018227940397782,7.288733462260159,1.1300791920967634
C_in_14,2.9456828235009254,7.067862751282578,2.360753931142804
C_in_15,2.6008119221810064,5.742638485417095,2.7360525882218947
C_in_16,1.429869293126685,5.521767774439515,3.493662866483826
C_in_17,0.9461994127351193,4.196543508574031,3.654437452114115
C_in_18,-0.4452800675522006,3.97567279759645,3.7485906793774237
C_in_19,-0.9461994127351196,2.6504485317309667,3.6544374521141147
C_in_20,-2.20852753372848,2.4295778207533862,3.0614722851657152
C_in_21,-2.600811922181005,1.1043535548879033,2.736052588221895
C_in_22,-3.41675708400307,0.8834828439103226,1.6049851865327063
C_in_23,3.6379353764396614,11.043535548879028,1.007785997582527
C_in_24,3.4690147905065167,9.718311283013545,1.4886714893896555
C_in_25,2.691735963704541,9.497440572035964,2.6466514545315887
C_in_26,2.3106661480700126,8.17221630617048,2.98513456518092
C_in_27,1.0690850863998216,7.9513455951929,3.6203954891851353
C_in_28,0.5716314647031856,6.626121329327417,3.7314131222146765
C_in_29,-0.8222341083758967,6.405250618349837,3.684309635616676
C_in_30,-1.31105807438001,5.080026352484353,3.5399623085108645
C_in_31,-2.5069203070740684,4.8591556415067725,2.822331836275502
C_in_32,-2.864269846509572,3.533931375641289,2.458895009236999
C_in_33,-3.561600466492799,3.313060664663708,1.251082945752544
C_in_34,-3.6976712216612015,1.9878363987982253,0.7598907530514796
C_in_35,-3.72122632479982,1.7669656878206446,-0.6345715560056343
C_in_36,-3.6018227940397787,0.4417414219551612,-1.130079192096763
C_in_37,-2.9456828235009254,0.2208707109775805,-2.360753931142804
C_left_1,3.7749445585431567,13.693984080609997,-8.881784197001252e-16
C_in_38,3.517314288204111,13.473113369632417,1.3706591910718708
C_in_39,3.3006100008956123,12.14788910376693,1.8319880027070188
C_in_40,2.4101682504198103,11.92701839278935,2.9053907525052285
C_in_41,1.9968098124489344,10.601794126923867,3.2035850219687068
C_in_42,0.6973306199832284,10.380923415946286,3.7099779549895433
C_in_43,0.19119780430243322,9.055699150080804,3.770099444272593
C_in_44,-1.1907509145871333,8.834828439103223,3.58222258932698
C_in_45,-1.6624635060367208,7.509604173237739,3.389162361287916
C_in_46,-2.7795886856638803,7.288733462260159,2.5542304435199132
C_in_47,-3.0983364862365637,5.963509196394675,2.1565058400407477
C_in_48,-3.669897008580828,5.7426384854170935,0.8843429009632406
C_in_49,-3.755576538799746,4.4174142195516115,0.38190480658340115
C_in_50,-3.637935376439662,4.19654350857403,-1.0077859975825245
C_in_51,-3.469014790506517,2.8713192427085477,-1.4886714893896547
C_in_52,-2.6917359637045424,2.650448531730967,-2.646651454531587
C_in_53,-2.310666148070015,1.325224265865483,-2.985134565180918
C_in_54,-1.0690850863998236,1.1043535548879024,-3.6203954891851344
C_in_55,3.7555765387997466,16.12356190136338,0.3819048065833984
C_in_56,3.3606007956848765,15.902691190385802,1.7194675664625843
C_in_57,3.0983364862365637,14.577466924520317,2.1565058400407477
C_in_58,2.1038689494070275,14.356596213542737,3.134316809736303
C_in_59,1.662463506036721,13.031371947677254,3.389162361287916
C_in_60,0.3184205977665063,12.810501236699674,3.761491026573453
C_in_61,-0.19119780430243274,11.48527697083419,3.770099444272593
C_in_62,-1.5470490050712673,11.26440625985661,3.443377091749115
C_in_63,-1.9968098124489333,9.939181993991127,3.2035850219687076
C_in_64,-3.023734722954317,9.718311283013547,2.2599191899877678
C_in_65,-3.300610000895613,8.393087017148062,1.831988002707018
C_in_66,-3.740535441196697,8.172216306170482,0.5085283013029057
C_in_67,-3.7749445585431567,6.846992040304997,2.1387095232890834e-15
C_in_68,-3.5173142882041115,6.626121329327416,-1.3706591910718702
C_in_69,-3.3006100008956127,5.3008970634619335,-1.8319880027070188
C_in_70,-2.4101682504198094,5.080026352484353,-2.9053907525052294
C_in_71,-1.996809812448934,3.75480208661887,-3.203585021968707
C_in_72,-0.6973306199832281,3.5339313756412896,-3.7099779549895433
C_in_73,-0.19119780430243533,2.2087071097758066,-3.770099444272593
C_in_74,1.1907509145871311,1.9878363987982257,-3.582222589326981
C_in_75,1.6624635060367203,0.6626121329327419,-3.3891623612879163
C_in_76,2.7795886856638776,0.4417414219551614,-2.5542304435199155
C_in_77,3.7663324554437496,19.87836398798225,0.25484555155161404
C_in_78,3.697671221661202,18.553139722116768,0.7598907530514786
C_in_79,3.1694029913824435,18.332269011139186,2.0506318778100097
C_in_80,2.864269846509572,17.007044745273703,2.458895009236999
C_in_81,1.7759811059837634,16.78617403429612,3.33108053509117
C_in_82,1.3110580743800087,15.46094976843064,3.539962308510865
C_in_83,-0.06375685067521375,15.240079057453059,3.774406110114089
C_in_84,-0.5716314647031869,13.914854791587576,3.7314131222146765
C_in_85,-1.8874722792715788,13.693984080609996,3.2691978855762067
C_in_86,-2.310666148070012,12.368759814744513,2.9851345651809202
C_in_87,-3.2368531502204,12.147889103766932,1.942418107407069
C_in_88,-3.4690147905065167,10.82266483790145,1.4886714893896555
C_in_89,-3.772790918432696,10.601794126923869,0.12749551312246254
C_in_90,-3.7555765387997466,9.276569861058384,-0.3819048065834002
C_in_91,-3.3606007956848765,9.055699150080804,-1.7194675664625847
C_in_92,-3.098336486236563,7.73047488421532,-2.156505840040748
C_in_93,-2.103868949407028,7.509604173237739,-3.134316809736303
C_in_94,-1.6624635060367214,6.184379907372255,-3.3891623612879154
C_in_95,-0.3184205977665059,5.963509196394675,-3.761491026573453
C_in_96,0.19119780430243397,4.638284930529192,-3.770099444272593
C_in_97,1.547049005071269,4.4174142195516115,-3.443377091749114
C_in_98,1.9968098124489357,3.092189953686128,-3.2035850219687063
C_in_99,3.0237347229543166,2.871319242708547,-2.259919189987768
C_in_100,3.3006100008956114,1.5460949768430639,-1.8319880027070212
C_in_101,3.740535441196697,1.3252242658654834,-0.5085283013029078
C_in_102,3.7212263247998196,22.307941808735638,0.6345715560056376
C_in_103,3.6018227940397782,20.982717542870155,1.130079192096764
C_in_104,2.945682823500925,20.761846831892573,2.3607539311428045
C_in_105,2.6008119221810064,19.43662256602709,2.7360525882218947
C_in_106,1.429869293126685,19.215751855049508,3.493662866483826
C_in_107,0.9461994127351218,17.890527589184025,3.6544374521141143
C_in_108,-0.445280067552199,17.669656878206446,3.748590679377424
C_in_109,-0.9461994127351196,16.34443261234096,3.6544374521141147
C_in_110,-2.2085275337284784,16.12356190136338,3.0614722851657166
C_in_111,-2.6008119221810073,14.798337635497898,2.7360525882218933
C_in_112,-3.4167570840030708,14.577466924520317,1.604985186532705
C_in_113,-3.6018227940397782,13.252242658654835,1.1300791920967637
C_in_114,-3.7663324554437496,13.031371947677254,-0.25484555155161215
C_in_115,-3.6976712216612024,11.706147681811771,-0.7598907530514755
C_in_116,-3.1694029913824453,11.48527697083419,-2.050631877810007
C_in_117,-2.8642698465095715,10.160052704968706,-2.4588950092369997
C_in_118,-1.7759811059837622,9.939181993991124,-3.331080535091171
C_in_119,-1.3110580743800107,8.613957728125643,-3.539962308510864
C_in_120,0.06375685067521161,8.393087017148062,-3.774406110114089
C_in_121,0.5716314647031855,7.067862751282578,-3.7314131222146765
C_in_122,1.8874722792715783,6.846992040304997,-3.2691978855762067
C_in_123,2.3106661480700135,5.521767774439514,-2.9851345651809194
C_in_124,3.2368531502203988,5.3008970634619335,-1.942418107407071
C_in_125,3.4690147905065154,3.9756727975964505,-1.488671489389659
C_in_126,3.772790918432696,3.7548020866188696,-0.127495513122463
C_in_127,3.6379353764396622,24.73751962948902,1.007785997582524
C_in_128,3.4690147905065167,23.41229536362354,1.488671489389656
C_in_129,2.6917359637045406,23.191424652645956,2.646651454531589
C_in_130,2.3106661480700126,21.866200386780477,2.98513456518092
C_in_131,1.0690850863998216,21.645329675802895,3.6203954891851353
C_in_132,0.5716314647031865,20.320105409937412,3.7314131222146765
C_in_133,-0.822234108375896,20.099234698959833,3.684309635616676
C_in_134,-1.3110580743800075,18.774010433094347,3.5399623085108654
C_in_135,-2.506920307074067,18.553139722116768,2.8223318362755028
C_in_136,-2.864269846509571,17.227915456251285,2.458895009237
C_in_137,-3.561600466492799,17.007044745273703,1.2510829457525459
C_in_138,-3.6976712216612015,15.68182047940822,0.7598907530514796
C_in_139,-3.72122632479982,15.46094976843064,-0.6345715560056343
C_in_140,-3.6018227940397787,14.135725502565156,-1.130079192096763
C_in_141,-2.9456828235009254,13.914854791587576,-2.360753931142804
C_in_142,-2.600811922181008,12.589630525722093,-2.7360525882218925
C_in_143,-1.4298692931266854,12.368759814744513,-3.4936628664838256
C_in_144,-0.9461994127351196,11.043535548879028,-3.6544374521141147
C_in_145,0.445280067552201,10.822664837901447,-3.7485906793774237
C_in_146,0.9461994127351187,9.497440572035963,-3.654437452114115
C_in_147,2.2085275337284784,9.276569861058382,-3.0614722851657166
C_in_148,2.600811922181006,7.951345595192901,-2.7360525882218947
C_in_149,3.416757084003069,7.730474884215321,-1.6049851865327083
C_in_150,3.601822794039778,6.405250618349837,-1.1300791920967657
C_left_2,3.7749445585431567,27.387968161219995,-1.7763568394002505e-15
C_in_151,3.5173142882041115,27.167097450242412,1.3706591910718702
C_in_152,3.300610000895614,25.841873184376926,1.8319880027070163
C_in_153,2.410168250419813,25.621002473399344,2.9053907525052263
C_in_154,1.9968098124489337,24.29577820753386,3.203585021968707
C_in_155,0.6973306199832275,24.07490749655628,3.7099779549895433
C_in_156,0.19119780430243322,22.749683230690795,3.770099444272593
C_in_157,-1.1907509145871333,22.528812519713217,3.58222258932698
C_in_158,-1.6624635060367192,21.203588253847734,3.3891623612879167
C_in_159,-2.779588685663879,20.982717542870155,2.554230443519914
C_in_160,-3.0983364862365628,19.657493277004672,2.156505840040749
C_in_161,-3.6698970085808273,19.43662256602709,0.8843429009632423
C_in_162,-3.755576538799746,18.111398300161607,0.38190480658340115
C_in_163,-3.637935376439662,17.890527589184025,-1.0077859975825245
C_in_164,-3.469014790506517,16.565303323318542,-1.4886714893896547
C_in_165,-2.6917359637045424,16.344432612340963,-2.646651454531587
C_in_166,-2.310666148070015,15.019208346475478,-2.985134565180918
C_in_167,-1.0690850863998236,14.798337635497898,-3.6203954891851344
C_in_168,-0.5716314647031903,13.473113369632415,-3.7314131222146756
C_in_169,0.8222341083758962,13.252242658654835,-3.684309635616676
C_in_170,1.3110580743800095,11.92701839278935,-3.5399623085108645
C_in_171,2.5069203070740684,11.706147681811768,-2.8223318362755023
C_in_172,2.8642698465095706,10.380923415946286,-2.4588950092370006
C_in_173,3.5616004664927976,10.160052704968706,-1.2510829457525494
C_in_174,3.697671221661201,8.834828439103223,-0.7598907530514818
C_in_175,3.755576538799746,29.817545981973375,0.3819048065834011
C_in_176,3.3606007956848756,29.596675270995796,1.7194675664625865
C_in_177,3.0983364862365637,28.271451005130313,2.156505840040748
C_in_178,2.1038689494070275,28.05058029415273,3.1343168097363034
