,x,y,z
C_left_0,1.1743305472484171,1.42,0.0
C_left_1,1.1743305472484171,0.0,0.0
C_left_2,1.1743305472484171,5.68,0.0
C_left_3,1.1743305472484171,4.26,2.220446049250313e-16
C_in_0,0.5871652736242085,3.55,1.0170000863572113
C_in_1,0.5871652736242087,2.13,1.0170000863572113
C_in_2,-0.5871652736242083,1.42,1.0170000863572115
C_left_4,1.1743305472484171,8.52,4.440892098500626e-16
C_in_3,0.5871652736242085,7.81,1.0170000863572113
C_in_4,0.5871652736242083,6.390000000000001,1.0170000863572115
C_in_5,-0.5871652736242087,5.68,1.0170000863572113
C_in_6,-0.5871652736242083,4.26,1.0170000863572115
C_in_7,-1.1743305472484171,3.55,1.4381401458287336e-16
C_in_8,-1.1743305472484171,2.13,1.4381401458287336e-16
C_in_9,-0.5871652736242091,1.42,-1.0170000863572108
C_in_10,-0.5871652736242087,8.52,1.0170000863572113
C_in_11,-1.1743305472484171,7.809999999999999,1.4381401458287336e-16
C_in_12,-1.1743305472484171,6.39,1.4381401458287336e-16
C_in_13,-0.5871652736242091,5.68,-1.0170000863572108
C_in_14,-0.5871652736242091,4.26,-1.0170000863572108
C_in_15,0.5871652736242086,3.5500000000000003,-1.0170000863572113
C_in_16,0.5871652736242077,2.13,-1.0170000863572117
C_in_17,-0.5871652736242091,8.52,-1.0170000863572108
C_in_18,0.5871652736242077,7.81,-1.0170000863572117
C_in_19,0.5871652736242077,6.389999999999999,-1.0170000863572117
