,x,y,z,theta_x,theta_y,theta_z
B_C_in_0-C_in_1,-0.39144351574947234,2.84,2.2177384647107151e-16,0.0,-1.5707963267948966,-1.5707963267948966
B_C_in_0-C_left_3,0.0,3.9050000000000002,-1.353792269798969e-19,0.0,-1.5707963267948961,-5.546571277949555
B_C_left_2-C_left_3,0.39144351574947234,4.97,-3.3306690738754696e-16,0.0,-1.5707963267948966,-4.71238898038469
B_C_in_3-C_left_2,0.0,6.035,-1.1115768168949555e-16,0.0,-1.570796326794896,-0.736614029230032
B_C_in_2-C_left_4,0.0,8.165,-1.1115768168949555e-16,0.0,-1.570796326794896,-5.546571277949557
B_C_in_1-C_left_0,0.0,1.775,5.537577200427793e-17,0.0,-1.5707963267948963,-0.7366140292300316
B_C_left_0-C_left_1,0.39144351574947234,0.71,-5.551115123125783e-17,0.0,-1.5707963267948966,-4.71238898038469
B_C_in_2-C_in_3,-0.39144351574947234,7.1000000000000005,2.2177384647107151e-16,0.0,-1.5707963267948966,-1.5707963267948966
