,x,y,z,theta_x,theta_y,theta_z
B_C_in_611-C_in_612,-3.8320702535442406,53.058846153846154,3.331862719513155,0.0,-1.211397730585106,-1.9035780610052364
B_C_in_529-C_in_530,-1.4881733414229683,39.13192307692307,-4.8550398263719945,0.0,-1.4337819677581176,-1.1042369147563917
B_C_in_626-C_in_627,3.5467870455831365,43.22807692307693,-3.579907359151374,0.0,-0.790783056568776,-3.195897029489414
B_C_in_1332-C_in_1340,3.0360054713978037,107.86538461538461,-4.0663613370450395,0.0,-1.2465158140441734,-2.037816840315666
B_C_in_843-C_in_844,3.2961015500319206,61.08730769230769,-3.862872788697213,0.0,-1.2634613519065558,-4.331261130601664
B_C_in_433-C_in_434,-5.077779435981588,35.691153846153846,0.04719755610954829,0.0,-1.0859823543574434,-1.5756923992072682
B_C_in_213-C_in_245,-1.0766109072310406,23.64846153846154,4.959186697453855,0.0,-1.4575648750696784,-4.16106206721735
B_C_in_267-C_in_538,5.037429386949107,33.23346153846154,-0.14049988727419588,0.0,-0.04761056898928397,-4.087044576791707
B_C_in_505-C_in_536,4.03796748015238,33.97076923076923,-3.0736692039001157,0.0,-1.1331793996166537,-1.934931078222035
B_C_in_1024-C_in_992,-2.061195145370503,78.53692307692307,-4.637251159736034,0.0,-1.3527515140408575,-5.234232902000294
B_C_in_55-C_in_56,-5.014739679152358,2.430384615384615,-0.7990353935309211,0.0,-1.0925106246421534,-1.488096207967234
B_C_in_770-C_in_771,-4.981574085534394,62.725769230769224,-0.9848813330104151,0.0,-1.0959363149658905,-1.468981416096681
B_C_in_829-C_in_861,-4.25514862348137,71.49153846153845,2.7652005239867745,0.0,-1.1078623450234635,-4.382070188660089
B_C_in_419-C_in_450,4.878696276010632,46.09538461538461,1.3967628260417424,0.0,-1.033266040074513,-1.3993009205418367
B_C_in_1215-C_in_1243,3.6707629638145507,109.99538461538461,3.504015269552851,0.0,-1.175323803096226,-1.1609124751169426
