,x,y,z,theta_x,theta_y,theta_z
B_C_in_30-C_in_31,-3.2434598261182908,3.6892682201217086,-0.6894186685545508,0.0,-0.20943951023931984,0.0
B_C_in_32-C_in_33,-2.2187839938706317,2.4595121467478056,-2.464209271295421,0.0,-0.837758040957278,0.0
B_C_in_82-C_in_93,0.7009596102252614,9.223170550304271,-3.2977556877940515,0.0,-1.4667956214915605,-2.0840985466305035
B_C_in_101-C_in_102,3.0292442459335867,11.067804660365125,-1.34870643309546,0.0,-0.4188790204786403,-3.141592653589793
B_C_in_10-C_left_3,3.2434598261182903,7.378536440243417,0.6894186685545516,0.0,-0.20943951023931984,0.0
B_C_in_54-C_left_1,3.3529604679559837,1.844634110060854,-0.3524103458605593,0.0,-1.051143044130855,-1.63096291587468
B_C_in_60-C_in_75,-2.505460395991641,11.682682697052078,2.2559266733789416,0.0,-1.1906428432945286,-4.344342864365364
B_C_in_40-C_in_59,-0.7009596102252618,10.452926623678174,3.2977556877940515,0.0,-1.46679562149156,-4.199086760549083
B_C_in_31-C_in_32,-2.9197436040958937,3.0743901834347573,-1.6857147557894514,0.0,-1.1236224163371404,-1.2902482539320392
B_C_in_44-C_in_45,-3.352960467955984,6.763658403556465,0.3524103458605585,0.0,-1.0511430441308562,-1.6309629158746792
B_C_in_51-C_in_52,1.6579603240272989,2.459512146747805,-2.8716715181486396,0.0,-1.0471975511965979,-3.141592653589793
B_C_in_38-C_in_39,1.3712839219062891,10.452926623678174,3.07995411606512,0.0,-1.3662841668205323,-5.19698942085243
B_C_in_14-C_in_15,-0.7009596102252625,4.30414625680866,3.2977556877940515,0.0,-1.4667956214915605,-2.0840985466305026
B_C_in_40-C_in_41,-0.7009596102252615,9.223170550304271,3.2977556877940515,0.0,-1.4667956214915598,-2.0840985466305035
B_C_in_55-C_in_56,2.2187839938706304,13.527316807112932,2.4642092712954224,0.0,-0.8377580409572785,0.0
B_C_in_13-C_in_14,0.34660808965862855,4.919024293495611,3.2977556877940515,0.0,-1.466076571675237,0.0
B_C_in_94-C_in_95,2.5054603959916415,9.223170550304271,-2.255926673378941,0.0,-1.190642843294529,-4.344342864365365
B_C_in_80-C_in_91,-1.3712839219062878,10.452926623678174,-3.079954116065121,0.0,-1.3662841668205328,-5.196989420852429
B_C_in_96-C_left_4,3.3529604679559837,9.223170550304271,-0.3524103458605593,0.0,-1.051143044130855,-1.63096291587468
B_C_in_98-C_in_99,0.7009596102252614,12.912438770425979,-3.2977556877940515,0.0,-1.4667956214915605,-4.199086760549083
B_C_in_11-C_in_3,2.9197436040958933,5.533902330182563,1.6857147557894523,0.0,-1.123622416337141,-1.29024825393204
B_C_in_0-C_left_1,3.2434598261182903,2.4595121467478056,0.6894186685545516,0.0,-0.20943951023931984,0.0
B_C_in_5-C_in_6,1.3712839219062884,3.0743901834347573,3.0799541160651205,0.0,-1.366284166820533,-5.19698942085243
B_C_in_16-C_in_28,-2.505460395991641,4.30414625680866,2.2559266733789416,0.0,-1.1906428432945286,-4.344342864365364
B_C_in_18-C_in_30,-3.352960467955984,3.0743901834347573,0.3524103458605585,0.0,-1.0511430441308562,-4.652222391304907
B_C_in_29-C_in_45,-3.352960467955984,5.5339023301825625,0.3524103458605585,0.0,-1.0511430441308562,-4.652222391304907
