,x,y,z,theta_x,theta_y,theta_z
B_C_in_199-C_in_200,-1.6752189004581646,18.82456630120788,-3.169668853778507,0.0,-1.4823956139520633,-1.402300793253096
B_C_in_178-C_in_208,3.3023380326569756,10.225690336458602,-1.2960721702725129,0.0,-0.7918257770933382,-1.9686688508658283
B_C_in_162-C_in_163,-2.1289227184431856,23.93741146943718,2.884587850276412,0.0,-1.4583633548414237,-1.7243859260006313
B_C_in_51-C_in_70,-2.6005514494095885,2.3240205310133186,-2.4129591193100097,0.0,-0.9845386802576415,-5.376348856168609
B_C_in_284-C_in_300,-2.600551449409588,34.86030796519978,-2.4129591193100106,0.0,-0.9845386802576434,-5.376348856168608
B_C_in_150-C_in_179,2.9311383336930694,7.901669805445284,-1.998416278267034,0.0,-0.8974859875740608,-2.145794178267125
B_C_in_126-C_in_127,3.522628799199058,29.050256637666486,0.6665173291964882,0.0,-1.384067209758364,-4.748144100931206
B_C_in_163-C_in_164,-2.6719214828294264,23.007803257031853,2.2993743618041975,0.0,-0.7730759495162974,-2.650978219223621
B_C_in_51-C_in_52,-2.8845878502764126,1.1620102655066589,-2.1289227184431847,0.0,-1.4181841060194382,-1.4570355184599537
B_C_in_14-C_in_15,2.2993743618041984,6.739659539938625,2.6719214828294255,0.0,-0.9071841346724063,-5.852296647155445
B_C_in_15-C_in_27,1.296072170272514,6.972061593039957,3.3023380326569756,0.0,-1.291447833252731,-0.751186578975795
B_C_in_55-C_in_56,2.3385353387462438,16.500545770194563,2.717427363610812,0.0,-1.447239164202054,-4.857205775974308
B_C_in_94-C_in_95,-0.1340523021926444,3.950834902722641,-3.582623199185573,0.0,-1.5637315849117648,-1.3808437316634525
B_C_in_109-C_in_110,-3.1696688537785063,15.570937557789236,1.6752189004581655,0.0,-1.402964995002884,-1.6604601909697072
B_C_in_57-C_in_81,0.528737591734459,15.803339610890568,3.507944713300723,0.0,-1.458072872192155,-0.7211376910493414
