,x,y,z,theta_x,theta_y,theta_z
B_C_in_30-C_in_31,-3.020618000247684,3.891144249629994,0.6894363471819578,0.0,-1.2462757682692547,-1.6476562717384395
B_C_in_32-C_in_33,-2.88412503732719,2.281015594610686,-1.13193566482303,0.0,-1.2614392451800083,-1.4450238753064757
B_C_in_160-C_left_4,3.0379692367897455,22.00509161859721,-0.4579001863778456,0.0,-0.8685158684024021,-1.6986879366921213
B_C_in_101-C_in_102,-2.6232671102311897,15.967109162274806,1.514543972248269,0.0,-0.5545021103385889,-2.7713437472013083
B_C_in_155-C_in_159,1.9155378121957178,21.200027291087558,-2.4020084417866183,0.0,-1.1513018767226608,-2.164245864456842
B_C_in_10-C_in_18,-1.536142055960787,1.8784834308558596,2.660676088567397,0.0,-1.2380623535460342,-4.070678673711453
B_C_in_147-C_in_148,-0.4617774774772223,19.187366472313418,-3.063693382427604,0.0,-1.5220320824039077,-1.2410676721155953
B_C_in_31-C_in_32,-3.0206180002476835,3.0860799221203403,-0.22636402557373703,0.0,-0.2056016290386096,-1.2032367454424633
B_C_in_44-C_in_45,-3.0896353484636356,6.306337232158956,0.23153616080411107,0.0,-1.2385790889853128,-1.596653693087319
B_C_in_111-C_in_112,2.3682363181717663,7.916465887178263,-1.888605442326825,0.0,-0.6958471460782375,-3.4433581684778707
B_C_in_126-C_in_127,1.314272003474077,11.941787524726536,-2.7291139361299113,0.0,-1.1307996813934373,-3.3537575541060285
B_C_in_51-C_in_52,1.314272003474077,0.6708869395913781,-2.7291139361299113,0.0,-1.1307996813934373,-3.353757554106027
B_C_in_125-C_in_126,0.46177747747722386,12.746851852236189,-3.0636933824276036,0.0,-1.5220320824039075,-4.3826603257053875
B_C_in_38-C_in_39,0.9132396091719186,11.13672319721688,2.960650096934023,0.0,-1.4742454281570947,-5.031778067150519
B_C_in_14-C_in_15,0.8928393453860439,5.501272904649302,2.894514066095531,0.0,-1.2772420888424718,-6.08281283979376
B_C_in_15-C_in_27,-0.2295920792079843,5.90380506840413,3.0636933824276036,0.0,-1.5219589934182438,-4.001896025414082
B_C_in_40-C_in_41,-0.9132396091719179,9.526594542197572,2.9606500969340233,0.0,-1.4742454281570945,-1.8901854135607266
B_C_in_55-C_in_56,2.1073783910757657,15.162044834765151,2.271213749752065,0.0,-1.34646607380004,-4.960846847256012
B_C_in_108-C_in_109,8.187894806610529e-16,10.331658869707226,-3.0982988203586688,0.0,-1.5707963267948966,-1.2376115207655534
B_C_in_147-C_in_154,-0.22959207920798236,20.3949629635779,-3.063693382427604,0.0,-1.5219589934182438,-5.4228819353552975
B_C_in_151-C_in_158,2.7680323381925707,17.174705653539284,-1.3330141181119972,0.0,-0.9415151179841419,-1.9290008195022494
B_C_in_13-C_in_14,1.7453338713828968,6.306337232158956,2.5599346197978394,0.0,-1.3855015518412193,-4.990907182117664
B_C_in_94-C_in_95,2.6832054869459654,21.60255945484238,1.5491494101793357,0.0,-1.2836282928140608,-4.8837357641516075
B_C_in_98-C_in_99,-0.4617774774772243,18.382302144803766,3.0636933824276036,0.0,-1.5220320824039075,-1.9005249814741991
B_C_in_117-C_in_118,-2.4223475598499657,19.18736647231342,1.9317577176045744,0.0,-1.3122231940008378,-1.783319676681183
