,x,y,z
C_left_0,3.1315481259957787,1.42,-1.1102230246251565e-16
C_left_1,3.1315481259957787,0.0,0.0
C_left_2,3.1315481259957787,5.68,-4.440892098500626e-16
C_left_3,3.1315481259957787,4.26,-2.220446049250313e-16
C_in_0,2.893173218681576,3.5500000000000003,1.198391585472529
C_in_1,2.893173218681576,2.13,1.198391585472529
C_in_2,2.2143389155036406,1.42,2.2143389155036397
C_left_4,3.1315481259957787,8.52,-4.440892098500626e-16
C_in_3,2.893173218681576,7.8100000000000005,1.198391585472529
C_in_4,2.893173218681576,6.390000000000001,1.198391585472529
C_in_5,2.21433891550364,5.680000000000001,2.2143389155036397
C_in_6,2.2143389155036406,4.26,2.2143389155036397
C_in_7,1.19839158547253,3.55,2.893173218681576
C_in_8,1.1983915854725293,2.130000000000001,2.893173218681576
C_in_9,1.9175201944383114e-16,1.4200000000000006,3.1315481259957787
C_in_10,1.19839158547253,7.81,2.893173218681576
C_in_11,1.1983915854725293,6.390000000000001,2.893173218681576
C_in_12,1.9175201944383114e-16,5.680000000000001,3.1315481259957787
C_in_13,1.9175201944383114e-16,4.260000000000002,3.1315481259957787
C_in_14,-1.1983915854725296,3.5500000000000016,2.893173218681576
C_in_15,-1.198391585472529,2.1300000000000003,2.893173218681576
C_in_16,-2.2143389155036397,1.4200000000000004,2.21433891550364
C_in_17,-2.2143389155036397,8.881784197001252e-16,2.21433891550364
C_in_18,8.870953858842861e-16,8.52,3.1315481259957787
C_in_19,-1.1983915854725284,7.81,2.8931732186815764
C_in_20,-1.1983915854725284,6.390000000000001,2.8931732186815764
C_in_21,-2.2143389155036397,5.680000000000001,2.21433891550364
C_in_22,-2.2143389155036397,4.260000000000002,2.21433891550364
C_in_23,-2.893173218681576,3.550000000000001,1.1983915854725293
C_in_24,-2.893173218681576,2.130000000000001,1.1983915854725293
C_in_25,-3.1315481259957787,1.4200000000000008,3.8350403888766227e-16
C_in_26,-2.8931732186815755,7.81,1.1983915854725309
C_in_27,-2.8931732186815755,6.390000000000001,1.1983915854725309
C_in_28,-3.1315481259957787,5.680000000000001,1.7741907717685721e-15
C_in_29,-3.1315481259957787,4.260000000000002,1.7741907717685721e-15
C_in_30,-2.893173218681577,3.550000000000001,-1.1983915854725276
C_in_31,-2.893173218681576,2.130000000000001,-1.1983915854725289
C_in_32,-2.2143389155036406,1.4200000000000008,-2.2143389155036397
C_in_33,-2.2143389155036406,1.7763568394002505e-15,-2.2143389155036397
C_in_34,-2.893173218681576,7.810000000000002,-1.1983915854725289
C_in_35,-2.893173218681576,6.3900000000000015,-1.19839158547253
C_in_36,-2.2143389155036397,5.6800000000000015,-2.2143389155036406
C_in_37,-2.2143389155036406,4.260000000000001,-2.2143389155036397
C_in_38,-1.1983915854725309,3.5500000000000007,-2.8931732186815755
C_in_39,-1.1983915854725309,2.1300000000000017,-2.8931732186815755
C_in_40,-5.752560583314933e-16,1.4200000000000017,-3.1315481259957787
C_in_41,-5.752560583314933e-16,1.7763568394002505e-15,-3.1315481259957787
C_in_42,-1.1983915854725284,7.810000000000002,-2.8931732186815764
C_in_43,-1.1983915854725284,6.390000000000003,-2.8931732186815764
C_in_44,-5.752560583314933e-16,5.680000000000003,-3.1315481259957787
C_in_45,-5.752560583314933e-16,4.26,-3.1315481259957787
C_in_46,1.19839158547253,3.55,-2.893173218681576
C_in_47,1.1983915854725324,2.13,-2.8931732186815746
C_in_48,2.2143389155036433,1.42,-2.214338915503636
C_in_49,1.19839158547253,7.810000000000002,-2.893173218681576
C_in_50,1.19839158547253,6.390000000000003,-2.893173218681576
C_in_51,2.2143389155036397,5.680000000000003,-2.2143389155036406
C_in_52,2.2143389155036397,4.260000000000002,-2.2143389155036406
C_in_53,2.8931732186815764,3.5500000000000016,-1.1983915854725284
C_in_54,2.8931732186815764,2.13,-1.1983915854725284
C_in_55,2.8931732186815764,7.810000000000002,-1.1983915854725284
C_in_56,2.8931732186815764,6.390000000000003,-1.1983915854725284
