,x,y,z,theta_x,theta_y,theta_z
B_C_in_611-C_in_612,-5.613765277409069,43.64323518111063,-1.1113677720347306,0.0,-0.198348661929487,-0.17355620994933707
B_C_in_105-C_in_134,-3.6200873283985153,4.747497145598451,-4.472641742565246,0.0,-1.2316217003301713,-5.163423933691348
B_C_in_529-C_in_530,4.09027099950632,47.83645601021789,4.002397039919796,0.0,-0.7751317778477631,-6.234541614547773
B_C_in_1670-C_in_1671,2.849392211313523,114.63880163254737,-4.9629087177447655,0.0,-1.0499429102626954,-3.1808327587928305
B_C_in_626-C_in_627,5.602906072258167,33.88315221680924,-1.3215686858663989,0.0,-1.0955512072760958,-4.590713458208765
B_C_in_694-C_in_729,5.644540603820687,40.02838963877679,-1.1174604218441795,0.0,-1.0253860611969559,-1.6912180720216654
B_C_in_843-C_in_844,-0.3312147715365311,67.35662193882065,5.713124862076548,0.0,-1.5129203587393933,-3.1075010504007246
B_C_in_433-C_in_434,-1.394273884825398,36.55813791813629,5.55027019600443,0.0,-1.324826249794551,-3.106501552233557
B_C_in_300-C_in_336,-5.720204216131753,23.400100144041094,0.6235544469547896,0.0,-1.0172316931703314,-4.644968035829571
B_C_in_1375-C_in_1376,-5.656725265397585,99.02266888966516,-0.866578436365562,0.0,-0.15574731172887452,-0.22116608075342992
B_C_in_1475-C_in_1476,-5.643587114120795,107.69829819126639,0.9483793544204197,0.0,-0.16990150590385186,-2.938961698539013
B_C_in_121-C_in_155,-1.7225624743873174,15.013658485826571,5.490203543075723,0.0,-1.4118130840437844,-4.176007453955226
B_C_in_55-C_in_56,-5.602906072258167,2.506292909351466,1.3215686858663982,0.0,-1.095551207276097,-1.6924718489708208
B_C_in_770-C_in_771,2.830078057133825,64.3924485941069,5.012959049956395,0.0,-1.337571903586901,-5.146683763609802
B_C_in_1115-C_in_1151,5.710577641622809,94.10647895209111,0.7062998099718371,0.0,-1.018271430710314,-1.4944613490909322
B_C_in_1150-C_in_1493,5.715372723677531,95.98619863410471,-0.28985089960882293,0.0,-0.061031881340944595,-3.7334336018399834
B_C_in_1468-C_in_1503,-0.8301348793462329,113.48205105900053,5.693894318009546,0.0,-1.4944274851060972,-4.159868285877835
B_C_in_1288-C_in_1289,5.6686778177988675,81.23762882138263,-0.7845958912435317,0.0,-0.14165787842744876,-3.3850065939119536
B_C_in_926-C_in_962,-3.6844578562669783,65.04312079172698,-4.419765460741228,0.0,-1.2253412420236849,-5.158775622311559
B_C_in_19-C_in_32,0.7476180614395123,4.024528037131682,5.705315386267266,0.0,-1.5020313312779663,-1.0173800334675374
B_C_in_900-C_in_901,4.5253863784046215,55.49992855996564,-3.502909796256686,0.0,-0.6594688374999917,-3.1971591711555742
B_C_in_1021-C_in_984,-1.722562474387316,77.76737710074212,5.490203543075722,0.0,-1.4118130840437824,-4.176007453955223
B_C_in_1006-C_in_1043,5.237246187724077,63.4525887531001,-2.3834447322600543,0.0,-1.0686181258565597,-1.8233817937755887
B_C_in_1176-C_in_1177,0.7066148571413745,78.41804929836223,-5.713124862076547,0.0,-1.513059170238225,-4.22611383203925
B_C_in_100-C_in_101,-5.721368461277846,6.771810649305404,0.12426521981765526,0.0,-0.04037020108052329,-2.138521802525989
B_C_in_1679-C_in_1680,-5.472527650609211,123.6036185775353,-1.6736009165505341,0.0,-0.29867424086560534,-0.11590089391957692
B_C_in_1460-C_in_1721,5.70458567371757,118.10905335318785,0.4551935915381625,0.0,-0.0865802361871732,-5.878735123576178
B_C_in_266-C_in_267,-5.71537272367753,19.06228549324048,-0.2898508996088328,0.0,-0.06103188134094641,-0.5918409482501787
B_C_in_774-C_in_810,-1.2397645930436778,63.01880728802004,5.618944756482646,0.0,-1.4566061425563115,-4.165770138654364
B_C_in_74-C_in_75,-5.275134484600978,5.615060075758574,2.2186606509186437,0.0,-0.3995027776227813,-3.0539963527291554
B_C_in_750-C_in_751,-4.673209912720261,52.17427066101851,-3.303120952404597,0.0,-0.6161077372471496,-0.05891989904871853
B_C_in_614-C_in_615,-4.257522087984272,41.69121858825035,-3.8746104212341312,0.0,-1.2156934644907986,-1.2265670681953664
B_C_in_676-C_in_711,-5.4775907124131065,51.74048919593844,1.7622588941055897,0.0,-1.043238017470877,-4.523825120153175
B_C_in_81-C_in_82,-3.7180120622591675,1.0603546924179286,-4.394938742565751,0.0,-1.2622980010534106,-1.1845734248878184
B_C_in_474-C_in_475,-5.751228349441683,34.46152750358266,0.24994543122125074,0.0,-1.0818804828264614,-1.593918675307448
B_C_in_748-C_in_749,-5.540032151122336,53.4756150562587,-1.4344137056972022,0.0,-0.25558135406165117,-0.13500971233293857
B_C_in_341-C_in_377,-3.1490241710771327,21.954161927107556,-4.815932224662278,0.0,-1.2771805135326437,-5.193093229319241
B_C_in_1619-C_in_1620,1.7630449550229996,110.37328389259343,-5.480034008341375,0.0,-1.426316675670814,-4.243120435531971
B_C_in_1609-C_in_1610,-5.741581562488488,116.88000586879434,-0.41634289630343907,0.0,-1.0827726119924066,-1.5322927907983988
B_C_in_1047-C_in_1083,5.166048489335063,87.8889446192769,2.5340677631838275,0.0,-1.0760681549371387,-1.3029801967038295
B_C_in_1613-C_in_1614,-4.026133723172748,114.27731707831397,-4.11452882954309,0.0,-1.2357735464821782,-1.207036728112259
B_C_in_980-C_in_981,2.384507875002069,79.141018406829,5.2395822772491325,0.0,-1.374815431263269,-5.163801188333537
B_C_in_512-C_in_513,-4.421736910511955,34.3169336818893,-3.686101319853577,0.0,-1.2013520378846365,-1.2421075239392045
B_C_in_69-C_in_94,-1.5628950701743896,10.097468548252543,5.537771701884537,0.0,-1.4266578310739213,-4.172210216326502
B_C_in_1685-C_in_1686,-1.0707026879294654,119.69958539181472,-5.621662980704356,0.0,-1.382700612964236,-0.034645817762521514
B_C_in_1184-C_in_870,5.753939655232681,74.441719201795,0.041651728768441365,0.0,-1.0135827366809798,-1.5662859868290306
B_C_in_357-C_in_358,4.369027713270322,35.545981166282814,3.6960919570861677,0.0,-0.7028374758918562,-6.230517547240108
B_C_in_1170-C_in_1171,-4.72485363984962,82.32208248408277,-3.2885951906566246,0.0,-1.1746662133403172,-1.2754168249595443
B_C_in_307-C_in_308,-2.332683754196573,17.61634727630694,-5.225713866781126,0.0,-1.1512106422063189,-0.03726856538242762
B_C_in_50-C_in_51,-2.4080913307900143,5.759653897451927,5.191396253141841,0.0,-1.1367433757274665,-3.104077955478631
B_C_in_501-C_in_502,-1.5543738087808272,41.47432785571032,5.507578503946844,0.0,-1.2958894397417264,-3.1062297713316713
B_C_in_666-C_in_667,3.0450643925691523,57.018163687745854,4.885353937138797,0.0,-1.319486848822644,-5.1369236559241145
B_C_in_1583-C_in_1584,-3.269206777912516,111.16854991190687,-4.69699754713711,0.0,-0.9631491570702795,-0.04145912898285031
B_C_in_259-C_in_295,-2.0374324642746373,24.84603836097463,5.381303315748737,0.0,-1.3824315046859537,-4.184765520788191
B_C_in_1511-C_in_1512,-5.597087842363615,108.8550487648132,-1.192521110683824,0.0,-0.21262305703592854,-0.16195811155128004
B_C_in_212-C_in_213,5.579237307911578,3.735340393744973,-1.273424507604879,0.0,-0.22692281001736067,-3.29342382570898
B_C_in_1161-C_in_1162,-2.9918776669071443,88.17813226266361,4.878336493193497,0.0,-1.0210108112661893,-3.1016729871394135
B_C_in_1030-C_in_1066,-4.88317578179074,73.71875009332823,-3.04370673795965,0.0,-1.1053802647674762,-5.030772216219468
B_C_in_613-C_in_614,-4.856551590530926,42.34189078587045,-3.027111752656762,0.0,-0.5583077588497933,-0.06427798986276212
B_C_in_470-C_in_505,-4.170523224727933,38.29326377845654,3.964377940430693,0.0,-1.1774326172878795,-4.30688738672074
B_C_in_1265-C_in_1266,-2.3084051865711768,96.20308936664475,5.273553426355077,0.0,-1.3811476448820414,-2.0247504480990264
B_C_in_911-C_in_912,1.5543738087808217,73.57415627163488,5.507578503946844,0.0,-1.2958894397417267,-6.247822424921443
B_C_in_1025-C_in_988,-4.926727423385929,75.16468831026177,2.9726946224302337,0.0,-1.1008961113990392,-4.400957758376721
B_C_in_1657-C_in_1658,-5.562297185586486,123.09754020160857,1.4832229317357317,0.0,-1.09927724521105,-1.7071811626051079
B_C_in_1725-C_in_1726,5.186568773870239,122.51916491483514,-2.497719880195585,0.0,-1.133428426634277,-4.48527210307642
B_C_in_203-C_in_204,-1.6036549975763843,9.591390172325804,-5.528778426990755,0.0,-1.4394579791687816,-1.0979465741653622
B_C_in_369-C_in_370,-5.518685745834333,27.737914794841707,1.5144657649765858,0.0,-0.2699338754930049,-3.013639559539883
B_C_in_706-C_in_707,-2.974020601870528,55.57222547081232,4.928925005075625,0.0,-1.325472171372526,-1.9986734189068827
B_C_in_1311-C_in_1312,-3.790091165570371,91.50379016161075,-4.287739249444465,0.0,-0.84743883955854,-0.04541113921020612
B_C_in_41-C_in_42,5.353630652927826,11.615703676032759,2.1160668888392125,0.0,-1.1183138198621276,-4.905734522119146
