,x,y,z,theta_x,theta_y,theta_z
B_C_in_611-C_in_612,2.741028488477869,62.80575188258177,3.8906179697792735,0.0,-0.9664697146239962,-6.083387270793273
B_C_in_529-C_in_530,-4.143311788920923,43.82535676443263,-2.4306090960383266,0.0,-1.262095192222644,-1.3826122613073812
B_C_in_1125-C_in_1147,0.8915096227746635,92.7063743289811,-4.705361404885778,0.0,-1.4525487332182274,-2.24853429158264
B_C_in_626-C_in_627,-3.4143028777302433,51.105508316599426,-3.3789686321536534,0.0,-1.3177395530435896,-1.3119925811730593
B_C_in_843-C_in_844,-4.689467410243804,74.33265850684586,1.0410516635674845,0.0,-1.2197611795502463,-1.6521822009319254
B_C_in_433-C_in_434,-4.615400098984857,36.54520521226584,-1.3315311052491094,0.0,-1.2255390392374774,-1.4668473478727
B_C_in_1003-C_in_1036,-4.652648684851995,87.67960301915164,-1.1349341714097267,0.0,-0.9075496239197646,-4.904151867390057
B_C_in_929-C_in_962,1.5649254751201345,90.62633102836202,4.526170966215098,0.0,-1.36220251670613,-0.9119402603978499
B_C_in_770-C_in_771,1.8498063168116587,75.71935404059191,4.433182801130474,0.0,-1.4347340039171255,-5.046690661858874
B_C_in_710-C_in_743,-1.279557248494763,68.95921331357988,4.6149700547146555,0.0,-1.4006546121916612,-4.044105486889132
B_C_in_900-C_in_901,-0.6416485570551901,84.64620653908216,4.71576425308196,0.0,-1.43738887903009,-2.9760543430495123
B_C_in_702-C_in_735,4.628030867141916,75.19934321543715,1.2314810801917053,0.0,-0.911677056413713,-1.3631678463525974
B_C_in_1176-C_in_1177,-7.271960811294775e-15,100.3331997645844,-4.803633328841341,0.0,-1.5707963267948966,-1.2108312064584972
B_C_in_16-C_in_28,2.4660801822533287,6.037903469852618,4.105321411629773,0.0,-1.2383748056527664,-0.9585414276014501
B_C_in_100-C_in_101,-1.0897772251721718,2.051153810332708,-4.67838420370232,0.0,-1.490799673649011,-1.2194545492758164
B_C_in_417-C_in_733,4.749949592915475,49.8054812537125,0.2968572488230325,0.0,-0.1754263969964974,-5.072731948569399
B_C_in_266-C_in_267,-0.24743013513344392,29.87173295611295,4.752780627132344,0.0,-1.5194821860103143,-2.977320457874378
B_C_in_329-C_in_362,-0.2987194993225667,36.7185421539841,4.779747066405602,0.0,-1.5312568920662173,-4.026977040621681
B_C_in_1165-C_in_1181,3.2608730322616495,95.99977622162798,-3.5074096461002675,0.0,-1.1246339503407772,-2.111214528057286
B_C_in_74-C_in_75,-3.7428512073099514,1.96448533947358,-2.939593543562631,0.0,-0.6826822694342963,-0.26185892156503643
B_C_in_750-C_in_751,-4.55601535985393,63.932442003750445,-1.5223722273906652,0.0,-1.230162870093182,-1.45207985894345
B_C_in_614-C_in_615,0.09993357936886822,60.46570316938531,4.8025937198215995,0.0,-1.5634683157960696,-5.072282752005816
B_C_in_112-C_in_86,-0.8915096227746708,14.184739730610694,4.705361404885776,0.0,-1.4525487332182263,-4.034651015596941
B_C_in_81-C_in_82,3.552205189195771,16.871462327243677,3.16733068296749,0.0,-0.7431174615657079,-6.039390661002415
B_C_in_474-C_in_475,2.576812035441998,31.951776256732032,-4.001272934381999,0.0,-1.0072749056397565,-3.3360053497523974
B_C_in_748-C_in_749,-4.7909032855568965,65.49247447921476,0.3494837140633055,0.0,-1.2118284140355589,-1.598171416129506
B_C_in_949-C_in_982,2.2052077875239617,75.02600627371888,-4.251149723537406,0.0,-1.2746755186662488,-2.199562579342951
B_C_in_1009-C_in_1042,-0.6950019999141943,82.99950559275871,-4.738373938199027,0.0,-1.4786975406152585,-5.393544468660993
B_C_in_1023-C_in_1056,2.2052077875239524,99.46651505599313,4.251149723537411,0.0,-1.27467551866625,-0.9420300742468313
B_C_in_931-C_in_964,-0.2987194993225667,89.0662985528977,4.779747066405602,0.0,-1.5312568920662173,-4.026977040621689
B_C_in_367-C_in_400,-4.652648684851997,34.46516191164676,1.1349341714097219,0.0,-0.9075496239197637,-4.520626093379324
B_C_in_980-C_in_981,1.5082957241600563,77.01938110347885,-4.513888497725343,0.0,-1.252798092164942,-3.3143909201172876
B_C_in_512-C_in_513,4.529334216950298,57.085632805879285,1.4612586740820028,0.0,-0.3513201556558199,-5.788704185895174
B_C_in_357-C_in_358,3.04497785214734,41.05196569694053,3.7152392975268125,0.0,-1.3456155069652744,-4.995649458693981
B_C_in_307-C_in_308,-4.523358291810203,25.27830400057914,-1.6168249509044683,0.0,-1.2327023907290084,-1.44478980254141
B_C_in_1140-C_in_1158,-3.7968979132179435,99.81318893942964,-2.918695187012463,0.0,-1.0443798824971051,-5.175467833282427
B_C_in_50-C_in_51,-3.9189208371812816,4.217865581810919,2.7004082715995046,0.0,-0.6225706893796901,-2.857719979810317
B_C_in_501-C_in_502,-1.5696835197189702,38.278574629448414,-4.539932467105432,0.0,-1.4554386422891004,-1.2290506928475204
B_C_in_666-C_in_667,3.683363087308332,47.29209559879778,-3.0834606410670755,0.0,-1.2973054244216904,-4.47534294552211
B_C_in_322-C_in_638,4.803373419554974,41.745313463813545,0.04996949337442923,0.0,-1.2108515701842988,-4.7163040531217675
B_C_in_1155-C_in_1171,-4.509647030770289,103.79993859894955,-1.6119240106013693,0.0,-0.9313449821064935,-4.981447914553528
B_C_in_212-C_in_213,-4.55875362998729,17.218136210680193,-1.3667152967953398,0.0,-0.3331473466868915,-0.5229267462673133
B_C_in_1161-C_in_1162,-0.39930187451398613,97.9064825805288,-4.787008582712691,0.0,-1.5415120700274505,-1.2119726273541733
B_C_in_613-C_in_614,1.0314256556557688,61.24571940711746,4.6461065935115755,0.0,-1.355320926782163,-6.115211220073095
B_C_in_911-C_in_912,-3.55190748486159,76.06602792402842,-3.2340139729041937,0.0,-1.307303057000533,-1.3226353702625877
B_C_in_227-C_in_260,4.695832940038449,34.118488028210244,0.9404086119014127,0.0,-0.9002769550535997,-1.4112910850828189
B_C_in_203-C_in_204,-0.39930187451398924,24.2382823502696,4.787008582712691,0.0,-1.5415120700274507,-1.9296200262356147
B_C_in_369-C_in_370,-4.772218322959704,31.691770844154647,-0.5484755563951923,0.0,-1.2132914249213642,-1.527849877202095
B_C_in_706-C_in_707,2.5587085334219286,70.86591967248071,4.065452471613603,0.0,-1.3820522885426056,-5.020755008516986
B_C_in_143-C_in_144,-3.7428512073099522,15.484766793497622,2.93959354356263,0.0,-0.682682269434296,-2.879733732024755
B_C_in_41-C_in_42,3.483859162951336,11.238011721400326,3.3072070528884896,0.0,-1.3124677166045071,-4.965931218461078
B_C_in_894-C_in_895,4.129829320704255,89.32630396547509,2.3653023365456045,0.0,-0.5431151939281584,-5.961657295138984
B_C_in_1129-C_in_1130,3.868522297588752,88.37295078602467,-2.8477058118798007,0.0,-1.2831754697908653,-4.492867737313799
B_C_in_960-C_in_961,2.235288335204239,92.61970585812199,4.201622474701473,0.0,-1.089002592983081,-6.097826993568176
B_C_in_607-C_in_608,4.693446786915922,65.9258168335104,0.7884812108130861,0.0,-0.23316779288302786,-5.498188025348998
B_C_in_645-C_in_646,0.641648557055188,63.67243659117305,4.715764253081961,0.0,-1.4373888790300908,-6.117646996639305
B_C_in_192-C_in_226,4.542205108295057,5.864566528134361,-1.517757593381356,0.0,-0.9259650012875871,-1.8248239547200718
B_C_in_293-C_in_326,3.4732988448584687,37.411889920857135,3.297182204912751,0.0,-1.0932326813919582,-1.057241210590774
B_C_in_1042-C_in_1043,0.4449244691101333,83.43284794705436,-4.738373938199025,0.0,-1.47843337284779,-3.3063553303150717
B_C_in_433-C_in_466,-4.542205108295059,37.75856380429364,-1.5177575933813534,0.0,-0.9259650012875889,-4.966416608309863
B_C_in_718-C_in_719,-4.666794732249882,61.50572481969485,-1.1383848580335632,0.0,-1.221531123573991,-1.4818396537068732
B_C_in_52-C_in_53,-4.656584547962262,2.657833106346607,0.9830390170770251,0.0,-0.26421470642612993,-2.4659727312037796
B_C_in_1077-C_in_1078,3.3432687361346876,83.51951641791348,-3.449267649217688,0.0,-1.3231159932502752,-4.448445132942714
B_C_in_861-C_in_894,4.601409839651344,88.89296161117946,1.3274949512703518,0.0,-0.9161255488922578,-1.3474943067580585
B_C_in_994-C_in_995,0.04950745411604818,93.48639056671325,4.7589593792554705,0.0,-1.560533380015639,-6.119122583736642
B_C_in_23-C_in_40,4.542205108295058,11.58468560483684,1.5177575933813552,0.0,-0.9259650012875904,-1.3167686988697227
B_C_in_866-C_in_867,1.6018750974880351,83.77952183049086,4.4815333908679476,0.0,-1.232304849913011,-6.109164444948483
B_C_in_560-C_in_561,-4.3531140610914,47.03209018622039,-1.9236796335525845,0.0,-0.44551412852872135,-0.38871473156646275
B_C_in_295-C_in_296,2.1227251152534645,34.638498853365014,4.309168277408938,0.0,-1.4145052944636736,-5.037994232952719
B_C_in_774-C_in_808,-2.026457559225672,73.81264768169109,4.3392032815651325,0.0,-1.2993155311563116,-4.0738407077882535
B_C_in_814-C_in_815,-4.558753629987292,69.56589260959379,-1.366715296795332,0.0,-0.33314734668689017,-0.5229267462673017
B_C_in_350-C_in_351,4.079728382494139,19.12484256958102,-2.450706364803508,0.0,-0.5628887863162301,-3.4526361433879855
B_C_in_292-C_in_293,4.129829320704254,36.97854756656149,2.365302336545606,0.0,-0.5431151939281584,-5.961657295138965
B_C_in_63-C_in_87,-0.4972912008529247,11.758022546555098,4.7631834753285265,0.0,-1.5049428912968608,-4.028677556189519
B_C_in_554-C_in_555,-3.417374248685378,51.71218761261333,3.312355446783862,0.0,-0.7835494591857007,-2.908079982422612
B_C_in_1015-C_in_1048,4.130752529662043,78.31940816636578,-2.4232414029103886,0.0,-0.9924777696846963,-1.9637688906791693
B_C_in_310-C_in_311,-2.821374708789813,22.938255287382674,-3.8327522896761623,0.0,-0.9460843811926412,-0.20273313109106983
B_C_in_384-C_in_78,4.749949592915475,19.991527278172303,-0.29685724882303377,0.0,-0.1754263969964974,-4.35204601219998
B_C_in_3-C_in_9,3.11214749443572,1.1844691017414226,3.6400210618849385,0.0,-1.1463392241709125,-1.01386452484105
B_C_in_1137-C_in_1138,-4.758186888958539,100.93987906059832,-0.09900955085105984,0.0,-0.16535623535155972,-1.4457810312850732
B_C_in_938-C_in_939,-4.693446786915922,82.3928262967448,0.7884812108130882,0.0,-0.23316779288302833,-2.3565953717592087
B_C_in_987-C_in_988,4.728714424676555,98.94650423083834,0.8450757645390254,0.0,-1.2166946409744286,-4.778503875835661
B_C_in_429-C_in_430,-4.1929808677978935,39.665270163194464,2.3438866440671093,0.0,-1.258269997656302,-1.7524154088929946
B_C_in_556-C_in_557,-4.429368212918243,50.15215513714901,1.740931531050578,0.0,-0.40729293357895946,-2.716624592364856
